data;dias_uteis;taxa_true;pred_CubicSpline;pred_B_Spline_(Ridge);pred_NSSplusL_BFGS_B;pred_GAtoNSSplusL_BFGS_B
2025-10-01;1;14,9;14,898961908045182;14,878358190493982;15,24252362456673;15,242610769150442
2025-10-01;7;14,91;14,902648918698615;14,886701556514705;15,220509113429756;15,220581069858424
2025-10-01;12;14,91;14,90552935642223;14,89302255462052;15,202305450857938;15,202365221502966
2025-10-01;14;14,91;14,906595253560024;14,895391966509017;15,195059902933195;15,195114917766102
2025-10-01;15;14,91;14,907104783827762;14,896542845873965;15,191444803394972;15,191497465532171
2025-10-01;16;14,91;14,907597058505173;14,897671254899157;15,187834812788617;15,187885138976323
2025-10-01;21;14,91;14,909756459061468;14,902978363648645;15,169861301176013;15,169900197219382
2025-10-01;28;14,91;14,911713045347812;14,909481511385366;15,144911422804162;15,144935007309915
2025-10-01;29;14,91;14,9118704482186;14,910323314664799;15,141367349037816;15,14138881117912
2025-10-01;30;14,91;14,911993797813045;14,911143495092352;15,137828307568368;15,13784766346052
2025-10-01;33;14,91;14,912147773897068;14,913474904611933;15,127241322604654;15,127254455995256
2025-10-01;42;14,91;14,910390026689866;14,919321112457101;15,095750355326855;15,09574567704936
2025-10-01;47;14,9;14,907874824885399;14,921836924282422;15,078429295713079;15,078415268033483
2025-10-01;48;14,9;14,90728113890028;14,92227824483396;15,074979910836737;15,074964059417253
2025-10-01;49;14,9;14,90666940308464;14,92269909269567;15,071535455822092;15,07151779594131
2025-10-01;51;14,9;14,905412636894862;14,923479612488839;15,064661314015753;15,064640082874472
2025-10-01;56;14,9;14,90231981071391;14,925076877338345;15,047561858759764;15,047531963810716
2025-10-01;57;14,9;14,901751370651146;14,925336122935573;15,044156650748855;15,044125068009265
2025-10-01;58;14,9;14,90121180435709;14,925575440656521;15,040756324700899;15,040723069060801
2025-10-01;61;14,9;14,899818485419758;14,92617443191027;15,03058458538357;15,030546399953788
2025-10-01;72;14,9;14,897982069399031;14,92686736125571;14,993661408388013;14,99360627170011
2025-10-01;75;14,9;14,898154234243732;14,92665353510965;14,983692607787614;14,983633149712723
2025-10-01;76;14,9;14,898254501314131;14,9265445025164;14,980379255912322;14,980318385686417
2025-10-01;77;14,9;14,898372671615544;14,926416692208932;14,977070686178482;14,977008417887525
2025-10-01;78;14,9;14,898506623449897;14,926270164722103;14,973766893380711;14,973703241068987
2025-10-01;79;14,9;14,898654235119148;14,926104980590747;14,97046787231844;14,970402849988531
2025-10-01;83;14,9;14,899338846184367;14,925258888317078;14,957319401581477;14,95724903837399
2025-10-01;86;14,9;14,899891769545526;14,924431390551774;14,947507897638252;14,947433673767865
2025-10-01;89;14,9;14,900414869161477;14,923440341494633;14,93773896645711;14,937661004968092
2025-10-01;90;14,9;14,90057270694364;14,923073929573338;14,934492092620209;14,934412912409744
2025-10-01;93;14,9;14,900966930248023;14,921867354590546;14,924779708775647;14,924696953282076
2025-10-01;105;14,9;14,900336057771273;14,915460023101275;14,886351280494736;14,886255417573915
2025-10-01;106;14,9;14,900051247272891;14,91481399173926;14,883179147943887;14,883082277548935
2025-10-01;110;14,89;14,898525009379192;14,912060854950994;14,870536847696751;14,870436075611833
2025-10-01;112;14,89;14,897564177848768;14,910583727240573;14,864243364781805;14,864140718218307
2025-10-01;113;14,89;14,897042955176758;14,909820235428247;14,861103522467992;14,86099995761781
2025-10-01;120;14,89;14,892862567255913;14,904016120794628;14,839252940916372;14,8391432981545
2025-10-01;121;14,89;14,892218951913195;14,903122020558339;14,836149699735834;14,836039238242329
2025-10-01;124;14,89;14,890272670928493;14,900343640111718;14,826867271849679;14,826754427611801
2025-10-01;140;14,88;14,878351876116907;14,883152933015433;14,77804744241143;14,777923711656001
2025-10-01;141;14,87;14,877364803417116;14,881949261475818;14,775034309900724;14,774909998415291
2025-10-01;147;14,87;14,870381211999929;14,874417649022407;14,75704886946054;14,75692131372294
2025-10-01;148;14,87;14,869015221733088;14,873111348069441;14,754066809519712;14,75393875274227
2025-10-01;149;14,87;14,86759327927353;14,871790627911087;14,751089168985418;14,75096062240178
2025-10-01;152;14,87;14,863062203929294;14,867742557552203;14,742182715150381;14,74205276617523
2025-10-01;166;14,85;14,841687648955944;14,847190905060184;14,701140748126381;14,701005557464411
2025-10-01;168;14,84;14,83931732629114;14,84403780722327;14,695347236744515;14,695211468696252
